,name,What college are you at?,I identify as...,I want to be matched with people looking for...,I want to match with people who are,How do you feel about an open/polyamorous relationship?,What year are you in?,What years do you want to match with?,What do you study?,Where do you go?,How COVID-Secure is your Date?,What do you talk about?,How far do you go?,It's ok to leave friends on read,Capitalism has failed the planet,University COVID guidelines are too harsh,Sharking is predatory,Drug laws should be loosened,I am scared that if I express my opinions I will be cancelled,Pissing in the sink is normal,How smart are you compared to the average Oxford student?,Was clubbing a large part of your social life?,The Pre-Covid best night out was...,How do you feel about alcohol?,How do you feel about cigarettes?,Is music important in your relationships?,Who are your favourite musicians?,How stylish are you?,How outdoorsy are you?,How kinky are you compared to the average Oxford student?,Is sports important in your relationships?,How important is emotional vulnerability in your relationships?,Which of these traits is most important for you in a partner?,Which of these traits do you have most?,Which of these traits do you have least?,I would best describe my political views as being...,There are some political views I don't want to be matched with,I do not want to match with someone who is...,Best Chip Van in Oxford,Worst Subject,Sexiest JCR Position,Biggest Waste of Human Potential,Nicest College,Biggest Name On Campus,I want to enter a crush,My crush's first name is...,My crush's college is...,I do not want to match with someone from my college,I do not want to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to share any contact details with your match (other than your Oxford email)?,Submitted At,Token,Unnamed: 60,Unnamed: 61,Unnamed: 62
44,person 1176,Trinity College,Female,,Male,Happy either-way,Third,"Second, Third, Fourth + / Post Grad",Medicine,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,5,4,4,5,2,4,3,4,Plush,5,3,4,"Sampha, Bonobo, Billie Eilish",5,3,3.0,1,4,Sense of Humour,Sense of Humour,Intelligence,Very left-wing,True,"Very conservative, Moderately conservative",Hassan's,Chemistry,Freshers Rep,The Union,Christ Church,Malala,False,,,False,False,False,,4,The worst trait question doesn’t really make sense - is it meant to be the trait you’re lacking or your worst? e.g. kindness doesn’t really work for the latter,False,2020-10-17 19:21:57,ethea4g12ce0loslyxrq7wdfethea4g1,,,
45,person 206,Lady Margaret Hall,Female,,Female,Not interested,Second,Second,Fine Art,Dinner,As long as it's legal,"Art, Music, Culture...",Horizontal,2,3,4,3,3,3,2,3,3,Plush,3,2,4,"Kali Uchis, Amy Winehouse, Ravyn Leanne,",4,4,3.0,1,4,Kindness,Kindness,Confidence,I'm not political,False,,Hassan's,Mathematics and Statistics,Welfare,OUCA,Magdalen College,Eve Bennett,True,person 2554,Lady Margaret Hall,True,True,False,,5,This one was the best by far!,True,2020-10-17 19:22:21,vi22v3naeuis52xsbv35t0xvi22v3cqo,,,
46,person 1816,St Edmund Hall,Male,,"Male, Female, Nonbinary",Must have,Second,"Second, Third, Fourth + / Post Grad",History,Coffee,As long as it's legal,Politics,Horizontal,3,5,2,3,5,2,2,2,3,Plush,2,4,3,,2,4,3.0,1,4,Kindness,Kindness,Confidence,Very left-wing,True,"Moderate, Sightly conservative, Moderately conservative, Very conservative",Hassan's,Economics and Management,Welfare,OUCA,Regent's Park College,Adam Roble,False,,,False,True,False,,4,nah,False,2020-10-17 19:22:34,pfu49nlg1up4a39kbb6pfu4mv2309si0,,,
47,person 618,St Hugh's College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",English Language and Literature,Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,3,3,4,4,4,3,2,3,4,Park End / ATIK / WTF it's called,4,3,4,"Arctic monkeys, oasis, Florence and the machine, Amy winehouse",2,4,3.0,4,4,Kindness,Sense of Humour,Confidence,Moderately left-wing,True,Very conservative,Hassan's,Physics,Entz,OUCA,Worcester College,Joe hyland desson of course,True,did not enter oxmatch,Oriel College,False,True,False,,4,Allow more than one crush lol,True,2020-10-17 19:22:48,26rdvk3y4n3xse8rkb2ij7l2awl13xhw,,,
48,person 953,Jesus College,Male,,Female,Happy either-way,Second,"First, Second, Third",Geography,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,2,5,5,3,4,2,2,1,4,Park End / ATIK / WTF it's called,5,3,3,,4,4,3.0,1,3,Sense of Humour,Ambition,Intelligence,Moderately left-wing,True,Very conservative,Hassan's,Computer Science,Freshers Rep,The Union,Brasenose College,SHPRAGGGGGG,True,did not enter oxmatch,St Catherine's College,False,True,False,,5,nopeee,True,2020-10-17 19:23:23,caxrkd5fvvj3hj7qcaxrkdwxzb5stvlx,,,
49,person 2981,St Peter's College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Philosophy and Theology,Coffee,As long as it's legal,The Deep Stuff™,Peck on the cheek,5,4,3,3,3,4,4,5,1,,3,2,1,,5,3,2.0,1,5,Intelligence,Intelligence,Confidence,I'm not political,True,"Very left-wing, Very conservative",Hassan's,Economics and Management,Entz,Student Journalism,Merton College,Cosmic Skeptic,False,,,True,True,False,,4,"I wish there was a question about emotional depth, which is different from both kindness and intelligence; also physical attraction does matter, although I imagine that would be hard to measure and try to match.",False,2020-10-17 19:23:54,08xkuxrvp3q4bou08xkulx8ubvo9ouhp,,,
50,person 956,Wadham College,Male,,Female,Happy either-way,Third,"Third, Second, First",Chemistry,Coffee,"Live fast, die young",Sex,Horizontal,2,3,4,3,4,5,4,3,3,Bridge,4,1,5,Ed Sheeran,2,4,3.0,2,4,Sense of Humour,Kindness,Confidence,Slightly left-wing,True,Very conservative,Ahmed's,Religion and Oriental Studies,Freshers Rep,The Union,Worcester College,Not me,True,did not enter oxmatch,Wadham College,True,True,False,,4,None,False,2020-10-17 19:23:59,elo0r9tjyydelo0r9fqxpy8trpg4fwfz,,,
51,person 1630,St Anne's College,Male,,Female,Happy either-way,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",Chemistry,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,4,3,2,5,1,4,4,4,Bridge,5,4,3,,5,3,3.0,2,1,Confidence,Confidence,Kindness,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Computer Science,Entz,The Union,Lady Margaret Hall,Becky Moody,True,person 2638,St Anne's College,True,True,False,,4,no,False,2020-10-17 19:24:04,2ds0kq5dtwir2ds0wnjvcssd71mwlv3f,,,
52,person 2904,Pembroke College,Female,,Male,Not interested,Second,"Second, Third",Economics and Management,Drinks,As long as it's legal,The Deep Stuff™,Horizontal,2,4,4,2,2,3,4,2,5,Fever,5,4,1,,5,4,4.0,2,2,Sense of Humour,Sense of Humour,Intelligence,Slightly left-wing,False,,McCoy's,Physics,Entz,OUCA,Pembroke College,Chris the barman,False,,,True,True,False,,4,no,False,2020-10-17 19:24:11,p803dzvdoanf4fjlp803dflh8fqx34ob,,,
53,person 1377,St Anne's College,Male,,Female,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad, Second",Physics,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,2,2,4,3,3,5,5,3,Park End / ATIK / WTF it's called,4,2,3,,4,4,3.0,3,4,Ambition,Confidence,Intelligence,Moderate,False,,Hassan's,Oriental Studies,Entz,OUCA,Christ Church,,True,did not enter oxmatch,St Anne's College,True,True,False,,4,None,False,2020-10-17 19:24:35,ztzsy67bj1t0go3w1m7e2ztzsfun710o,,,
54,person 1514,Wadham College,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",Biology,Walk in the park,As long as it's legal,"Art, Music, Culture...",Elbow Tap,1,4,2,4,3,1,3,2,2,,3,1,3,,3,4,3.0,1,4,Kindness,Kindness,Confidence,Moderately left-wing,True,"Sightly conservative, Moderately conservative, Very conservative",Hassan's,History,President,The Union,Worcester College,malala yousafzai,False,,,False,False,False,,5,,False,2020-10-17 19:24:36,szsyvbow4zywcglspqszsyvbowc1kacc,,,
55,person 2204,Brasenose College,Female,,Female,Not interested,Second,Third,Biochemistry (Molecular and Cellular),Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,5,2,3,5,2,5,1,4,Plush,4,2,4,"the wombats, night cafe, the kooks, easy life, wallows, still woozy",4,5,4.0,2,3,Confidence,Sense of Humour,Confidence,Very left-wing,True,"I'm not political, Very conservative, Moderately conservative, Moderate",Hassan's,Classics,Entz,The Union,Worcester College,myself,False,,,False,False,True,Wadham College,5,love the new look - no critiques,False,2020-10-17 19:25:35,3bj3qii7iolbfmicyxqse03bj3qiivaw,,,
56,person 1948,Worcester College,Female,,Female,Must have,Third,Second,History,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,5,3,3,5,2,5,2,4,Plush,4,2,4,"The wombats, taylor swift, Hayley kiyoko, David Bowie, night cafe, hollie col",4,5,4.0,2,3,Sense of Humour,Confidence,Kindness,Very left-wing,True,"Very conservative, Moderately conservative, I'm not political, Sightly conservative, Moderate",Hassan's,Classics,Entz,The Union,Worcester College,Claire Nash,False,,,False,False,False,,5,Nah bro,True,2020-10-17 19:25:40,f155kpott406nar03zf155dve5xvuv00,,,
57,person 1205,Keble College,Male,,Female,Not interested,Second,"First, Second, Third",Biology,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,4,3,4,3,1,5,3,2,,4,1,5,"Arctic monkeys, Beatles, Oasis, Radiohead, Blur",4,5,3.0,2,4,Kindness,Kindness,Confidence,Slightly left-wing,True,"Very conservative, Moderately conservative",Hassan's,English Language and Literature,Welfare,The Union,Wadham College,,False,,,True,True,False,,4,No,True,2020-10-17 19:25:50,g1qna499e5oqt3tkg1qnav04dzd4aer5,,,
58,person 1562,University College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,As long as it's legal,The Deep Stuff™,Peck on the cheek,4,5,4,3,3,2,4,4,4,Park End / ATIK / WTF it's called,4,1,2,,4,4,2.0,4,4,Confidence,Confidence,Kindness,Moderately conservative,True,"Very left-wing, Moderately left-wing, Very conservative",Ahmed's,Music,Entz,OUCA,Worcester College,Me,False,,,False,False,False,,5,Nope,True,2020-10-17 19:26:05,sdrsxanqpcdgjl6hhcsdrsxa1vylxp2w,,,
59,person 751,St Peter's College,Male,,"Male, Nonbinary",Not interested,Second,Second,History and Economics,Walk in the park,"Live fast, die young",The Deep Stuff™,Horizontal,2,5,3,5,4,2,2,1,1,,3,2,2,,2,3,2.0,2,5,Sense of Humour,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative",Posh Nosh,"Philosophy, Politics and Economics (PPE)",Welfare,The Union,Regent's Park College,Jade Calder,False,,,False,False,False,,4,Made me realise that I'm really not interesting enough to date,True,2020-10-17 19:26:18,pdcqc37vxzyoc423m59epdcqcql1d0ph,,,
60,person 2965,Regent's Park College,Female,,"Male, Female",Happy either-way,Second,"Fourth + / Post Grad, Third",Classics and English,Walk in the park,As long as it's legal,"Art, Music, Culture...",Elbow Tap,4,4,2,3,2,3,1,4,1,,1,2,4,"Mozart, Bach, Zelenka... choral music with good counterpoint!",4,4,2.0,1,3,Intelligence,Intelligence,Sense of Humour,Slightly left-wing,False,,Hassan's,Geography,Welfare,The Union,Jesus College,,False,,,False,True,True,Jesus College,4,Keep up the good work :),False,2020-10-17 19:26:21,tsan6lefi051lt18tsan6mapvrikp2fv,,,
61,person 2511,New College,Male,,Female,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Mathematics,Walk in the park,"Live fast, die young",The Deep Stuff™,Peck on the cheek,3,4,5,4,4,1,5,5,3,A night in,3,1,1,,3,4,3.0,3,5,Intelligence,Intelligence,Kindness,I'm not political,True,"Very conservative, Very left-wing",Hassan's,Theology and Religion,President,OUCA,Magdalen College,,True,did not enter oxmatch,Magdalen College,True,True,False,,4,The question about chip vans - I've never been to one but that wasn't an option!,False,2020-10-17 19:26:38,2gajb39rxezyqx730zh2gajb3gcxxi6j,,,
62,person 120,Wadham College,Female,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Classics,Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,3,4,4,4,5,2,1,1,4,Plush,4,4,3,,2,4,3.0,2,4,Kindness,Kindness,Intelligence,Moderately left-wing,True,"Moderately conservative, Very conservative, I'm not political",Hassan's,Law (Jurisprudence),Welfare,The Union,Lady Margaret Hall,Hassan,False,,,False,False,True,Christ Church,4,No,True,2020-10-17 19:27:02,fvfoy5qv32n8l31iac96fvfo1jyv9ip8,,,
63,person 1470,Christ Church,Female,,"Male, Female, Nonbinary",Happy either-way,Second,"Second, Third, Fourth + / Post Grad","Psychology, Philosophy and Linguistics",Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,5,4,3,2,2,1,2,3,Bullingdon,3,2,5,"Epik High, Musical Miracle, AnnenMayKantereit",3,3,2.0,1,4,Kindness,Confidence,Ambition,Slightly left-wing,True,Very conservative,McCoy's,Physics,President,The Union,Lady Margaret Hall,my best friend (the only bnoc that matters to me),False,,,True,True,False,,4,no it was fine,True,2020-10-17 19:27:19,3limnbdvu9sho80injw3limnbof1tejy,,,
64,person 1287,Oriel College,Female,,Male,Not interested,Second,"Third, Fourth + / Post Grad",History,Coffee,"Live fast, die young",Politics,Peck on the cheek,4,5,4,5,5,3,1,4,2,,1,3,3,,5,2,,1,5,Confidence,Ambition,Confidence,Very left-wing,True,"Very conservative, Moderately conservative, Sightly conservative, Moderate",Ahmed's,Theology and Religion,Welfare,OUCA,Balliol College,,False,,,False,False,False,,4,Include a preference for people on specific courses we would like to match with! Ngl I just have a thing for Law and/or PPE boys 💀💀💀,True,2020-10-17 19:28:38,zybfrdjqpqel3lfzybh9ifo2pui9s5b1,,,
65,person 2950,Jesus College,Female,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Geography,Dinner,"Live fast, die young","Art, Music, Culture...",Horizontal,4,3,3,2,2,1,5,2,4,Park End / ATIK / WTF it's called,5,3,3,,4,3,3.0,3,4,Confidence,Confidence,Intelligence,Slightly left-wing,False,,Hassan's,Mathematics,Entz,OUCA,Brasenose College,Claire Irwin,True,did not enter oxmatch,Jesus College,True,True,False,,5,no,False,2020-10-17 19:29:36,h5b356n9hh5b35p5q0gce4io77uoil7s,,,
66,person 301,Pembroke College,Male,,Female,Happy either-way,Fourth + / Post Grad,"Third, Fourth + / Post Grad, Second",Mathematics,Walk in the park,"Live fast, die young",Politics,Peck on the cheek,2,2,2,3,5,4,5,4,2,,4,1,1,,2,4,4.0,3,5,Kindness,Ambition,Confidence,Slightly left-wing,False,,McCoy's,Economics and Management,President,The Union,Worcester College,Sam Rush,False,,,True,False,False,,4,No,False,2020-10-17 19:30:08,b48rwssbolmqku3db48rw4teqgsu3fef,,,
67,person 1565,Jesus College,Male,,Female,Not interested,Second,"Third, Second",Law (Jurisprudence),Coffee,"Live fast, die young",The Deep Stuff™,Horizontal,2,5,5,2,3,2,4,1,3,Bridge,5,3,5,"The Smiths, Pink Floyd, Simon & Garfunkel, Cassia, Pulp etc.",4,5,4.0,2,4,Sense of Humour,Kindness,Ambition,Moderately left-wing,True,Very conservative,Hassan's,Mathematics and Computer Science,Freshers Rep,The Union,Magdalen College,Rich the porter,False,,,False,True,False,,5,Nope! Hopefully i won't need you guys next time xx,True,2020-10-17 19:30:10,brncp8zrgtpy79b6alhbrncpcsiu4365,,,
68,person 3009,Jesus College,Male,,Female,Not interested,Second,Second,Classics,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,4,4,4,4,2,3,4,4,Bridge,4,1,5,I’m musically omnivorous,4,4,,2,5,Kindness,Kindness,Intelligence,Slightly left-wing,True,Very conservative,Hassan's,Classics,Welfare,OUCA,Somerville College,Joe Phelps,True,did not enter oxmatch,Somerville College,False,False,False,,5,Nope absolutely perfect,True,2020-10-17 19:30:39,32hw0efy5xy440t55ybf32hw0efu70mw,,,
69,person 839,University College,Female,,Female,Not interested,Fourth + / Post Grad,"Third, Fourth + / Post Grad",Classics,Walk in the park,As long as it's legal,"Art, Music, Culture...",Horizontal,1,4,3,3,4,3,1,4,3,Plush,4,3,3,,4,4,3.0,3,5,Kindness,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative",Ahmed's,Chemistry,Welfare,The Union,Lincoln College,"Christ knows, I’m a hermit",True,did not enter oxmatch,University College,True,True,False,,4,Maybe an ‘any person you don’t want to match with’,True,2020-10-17 19:31:05,u3nad621hma6sjyys45zm8u3nad64uia,,,
70,person 2828,Pembroke College,Male,,Female,Not interested,Second,"Second, Third, First",Music,Drinks,As long as it's legal,"Art, Music, Culture...",Horizontal,3,4,2,3,4,2,2,3,4,Fever,3,1,5,"Roxy music, David Bowie, Brian Eno, Talking Heads, Fleetwood Mac, Mahler",4,3,,2,3,Sense of Humour,Sense of Humour,Confidence,Slightly left-wing,False,,Hassan's,Economics and Management,Freshers Rep,Rowing,Worcester College,Milan Campion,True,did not enter oxmatch,Worcester College,False,True,False,,5,Nope,False,2020-10-17 19:31:28,5oofujwpumeddlwtw45oofuj5w5l1iun,,,
71,person 1525,Jesus College,Male,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Modern Languages,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,4,5,2,4,2,2,3,5,Park End / ATIK / WTF it's called,4,3,3,,4,3,3.0,2,3,Sense of Humour,Confidence,Kindness,Moderately left-wing,False,,Hassan's,Medicine,Entz,OUCA,Pembroke College,Caroline Warman,False,,,False,True,False,,5,No,False,2020-10-17 19:31:32,e58hv72on3m2oqlu3ynvw2qq1e58hv72,,,
72,person 1347,St Hilda's College,Male,,Female,Happy either-way,Second,"First, Second, Third, Fourth + / Post Grad",Chemistry,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,5,4,3,5,3,5,1,5,Fever,5,4,4,Arctic Monkeys,4,5,5.0,3,3,Sense of Humour,Sense of Humour,Kindness,Very left-wing,False,,Ahmed's,Chemistry,Welfare,OUCA,Somerville College,?,True,person 2443,St Hilda's College,True,True,False,,5,.,True,2020-10-17 19:31:52,gabq2potnnq2hqqgabq29erwpnp2ayfv,,,
73,person 413,St Hugh's College,Female,,"Male, Female",Happy either-way,Second,"Second, Third, Fourth + / Post Grad",Psychology (Experimental),Drinks,"Live fast, die young",funny stuff,Peck on the cheek,4,4,3,3,4,2,4,2,4,Park End / ATIK / WTF it's called,3,2,3,,4,3,5.0,2,4,Sense of Humour,Sense of Humour,Ambition,Moderately left-wing,True,Very conservative,Hassan's,Mathematics,Entz,OUCA,Worcester College,,False,,,False,True,False,,4,,True,2020-10-17 19:31:59,r8wf5eh4wzrbcn0z08m2fr8wf5eh4ojb,,,
74,person 1785,Worcester College,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",Engineering Science,Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,5,4,4,3,4,2,3,3,5,Bullingdon,5,4,3,,5,3,3.0,2,3,Sense of Humour,Intelligence,Kindness,Slightly left-wing,True,Very conservative,Ahmed's,Modern Languages and Linguistics,Entz,The Union,Worcester College,Luke Buckley-Harris,True,did not enter oxmatch,Lady Margaret Hall,True,True,False,,3,f,False,2020-10-17 19:32:50,u7mtor32fcf71dyr0gu7mohzw6iiqefc,,,
75,person 1779,Worcester College,Female,,Male,Not interested,Third,"Third, Fourth + / Post Grad",Medicine,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,5,4,5,3,5,4,5,3,5,Bullingdon,5,3,3,,5,4,4.0,3,3,Sense of Humour,Sense of Humour,Kindness,Slightly left-wing,True,Very conservative,Hassan's,Mathematics and Computer Science,Entz,The Union,Worcester College,Luke Buckley Harris,True,did not enter oxmatch,Worcester College,True,True,False,,3,There should be a question asking what kung fu panda character you would be,False,2020-10-17 19:32:59,cq6p7vlmtiem6v8cq68jh05hivrqy749,,,
76,person 1836,Christ Church,Female,,Male,Not interested,Third,"Second, Third, Fourth + / Post Grad",Geography,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,4,5,3,4,4,1,5,3,5,Bullingdon,5,3,4,Cocteau twins,3,5,3.0,1,5,Kindness,Kindness,Ambition,Very left-wing,True,"Very conservative, I'm not political, Moderately conservative",Ahmed's,Theology and Religion,Entz,The Union,Brasenose College,Malala,True,did not enter oxmatch,Magdalen College,False,True,False,,4,No,False,2020-10-17 19:33:27,71a3cuh4vozt9rnypu71a0wqs8oewqm5,,,
77,person 450,Mansfield College,Male,,Female,Happy either-way,Fourth + / Post Grad,"Fourth + / Post Grad, Third",History,Dinner,As long as it's legal,Politics,Horizontal,1,1,3,3,5,3,5,3,2,,4,2,2,,3,4,1.0,1,1,Kindness,Kindness,Sense of Humour,Moderate,False,,Hassan's,"Philosophy, Politics and Economics (PPE)",Welfare,Student Journalism,Magdalen College,Don't know,True,did not enter oxmatch,Worcester College,True,True,False,,5,Nope,True,2020-10-17 19:34:20,sbcruvemzsjirw3vtsbcruveuh1lemmd,,,
78,person 384,Exeter College,Female,,Male,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,4,4,5,3,4,2,4,1,3,Bullingdon,4,3,4,"Pulp, Mungo’s Hifi, Bhundu Boys, Kojaque, Balthazar, Ezra collective",4,3,3.0,2,3,Sense of Humour,Sense of Humour,Confidence,Slightly left-wing,False,,Hassan's,Computer Science,President,The Union,Magdalen College,Evie Lang,False,,,True,True,False,,3,No,True,2020-10-17 19:35:27,0mlu2snf8t4o7rvu0mleowavlc5k2cx6,,,
79,person 3047,St Peter's College,Female,,"Female, Male, Nonbinary",Not interested,Second,Second,History,Coffee,2 Metres,"Art, Music, Culture...",Elbow Tap,3,5,2,5,4,1,1,3,2,,3,2,5,"David Bowie, The Velvet Underground, Sonic Youth",2,1,1.0,1,4,Sense of Humour,Sense of Humour,Confidence,Very left-wing,True,"Very conservative, Moderately conservative, Sightly conservative",Hassan's,Economics and Management,Welfare,The Union,Mansfield College,Me if ur talking about the gays,True,did not enter oxmatch,St Peter's College,True,True,False,,4,No,False,2020-10-17 19:35:37,nw1marqwfk3u3jmkkpfhnw1margp7res,,,
